doc_id,speaker_id,role_inferido,n_turns,n_words,question_rate,word_share
doc_57600d8711fbb9d4,2,interviewer_heuristic,92,1810,0.532608695652174,0.19656820156385751
doc_5c06d290f301eadb,1,interviewer_heuristic,55,1276,0.8181818181818182,0.2877762742444745
doc_5c06d290f301eadb,2,interviewer_heuristic,63,3158,0.6984126984126984,0.7122237257555255
doc_5e45678d66a9df7e,1,participant_or_unknown,3,313,1.0,0.02866037908616427
doc_5e45678d66a9df7e,2,interviewer_heuristic,106,2331,0.9150943396226415,0.2134419924915301
doc_5e45678d66a9df7e,3,interviewer_heuristic,122,8277,0.7295081967213115,0.7578976284223057
doc_5e6540144b9030fe,1,interviewer_heuristic,43,712,0.813953488372093,0.13160813308687616
doc_5e6540144b9030fe,2,interviewer_heuristic,101,3504,0.5841584158415841,0.6476894639556378
doc_5e6540144b9030fe,3,interviewer_heuristic,69,1194,0.8260869565217391,0.22070240295748614
doc_5e9eef5d22c00bcf,1,interviewer_heuristic,262,4685,0.648854961832061,0.31946812137742925
doc_5e9eef5d22c00bcf,2,participant_or_unknown,147,2467,0.4217687074829932,0.1682236617797477
doc_5e9eef5d22c00bcf,3,participant_or_unknown,52,1182,0.4423076923076923,0.080600068189567
doc_5e9eef5d22c00bcf,4,interviewer_heuristic,100,1943,0.52,0.1324923286737129
doc_5e9eef5d22c00bcf,5,interviewer_heuristic,67,1184,0.5522388059701493,0.0807364473235595
doc_5e9eef5d22c00bcf,6,interviewer_heuristic,68,1504,0.45588235294117646,0.10255710876235936
doc_5e9eef5d22c00bcf,7,participant_or_unknown,124,1043,0.3387096774193548,0.0711217183770883
doc_5e9eef5d22c00bcf,8,interviewer_heuristic,37,657,0.5675675675675675,0.04480054551653597
doc_6446f54127e74c2d,1,participant_or_unknown,3,313,1.0,0.021390008884029248
